distance_m,postcode_match,city_match,address_match,operator_similarity,provider_uid,static_publication_id,site_id,site_operator,site_address,site_postcode,site_city,site_total_evses,station_id,datex_station_ids,datex_charge_point_ids,station_operator,station_address,station_postcode,station_city,station_charging_points_count,station_in_bundle,score
0.0,True,True,True,1.0,chargecloud,978597062404620288,06758aa3-a1d2-4315-89d6-8932c8834efb,Berliner Stadtwerke EnergiePartner GmbH,Theodor-Loos-Weg 41,12353,Berlin,2,afbd639d60f22d2f,4a41d064-3336-4d11-9cf4-8edf30bd4713,DEBEPEP703001001|DEBEPEP703000000,Berliner Stadtwerke EnergiePartner GmbH,Theodor-Loos-Weg 41 12353 Berlin Kreisfreie Stadt Berlin,12353,Berlin,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0771a293-168f-40d3-b436-891369b27541,Stadtwerke Münster GmbH,Loddenheide  45,48155,Münster,2,df0e8d33ff8af9e1,6476d859-0c5e-4e60-899f-b4c762cecfb2,DEMS1EMS0520101|DEMS1EMS0520102,Stadtwerke Münster GmbH,Loddenheide 45 48155 Münster Kreisfreie Stadt Münster,48155,Münster,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,07c303b9-fb55-467e-848a-dd8461934f55,Stadtwerke Münster GmbH,Dahlweg 22,48153,Münster,2,43493148ddd80504,b02a0472-05bc-4361-8ed5-0f553b75fb4c,DEMS1EMS0870101|DEMS1EMS0870102,Stadtwerke Münster GmbH,Dahlweg 22 48153 Münster Kreisfreie Stadt Münster,48153,Münster,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,081f4de4-6d1a-4985-bff7-37d8cfe86804,Stadtwerke Heidelberg Energie GmbH,Im Beind 4,69126,Heidelberg,4,a409a980513ece9a,8c54e933-e905-4ab1-9735-d17f5c6f59af|61488c3f-9968-4f58-9882-5a4df746c579,DE1HDESWH101001|DE1HDESWH101002|DE1HDESWH101003|DE1HDESWH101004,Stadtwerke Heidelberg Energie GmbH,Im Beind 4 69126 Heidelberg Stadtkreis Heidelberg,69126,Heidelberg,4,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,087fdb46-2ee7-4d10-9e03-58ae2eb1df6e,TankE GmbH,Mathias-Brüggen-Str 170,50829,Köln,2,d511709cecd00fe4,1d079e0d-bf2c-47a7-b932-e1b92b1b325c,DETNKE0048501|DETNKE0048502,TankE GmbH,Mathias-Brüggen-Str. 170 50829 Köln Kreisfreie Stadt Köln,50829,Köln,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,08892013-86c4-49ab-b2aa-419db3c5be03,ib company GmbH,Zeughausstraße 3,78532,Tuttlingen,10,16bd847c1fed8022,5ab66403-e3f1-4d51-b42e-47adba8fcdc3|0d2578fc-357e-4c61-b218-a0828214a8df|fbe286ba-adfb-4f98-9025-d1ba0eb5d458|e28765ac-54c9-444a-a22b-76e95432403f|ea0e2a15-143f-47fd-a05b-e6fd4637aa1a,DEIBCE100075001|DEIBCE100075002|DEIBCE100076001|DEIBCE100076002|DEIBCE100077001|DEIBCE100077002|DEIBCE100078001|DEIBCE100078002|DEIBCE100079001|DEIBCE100079002,ib company GmbH,Zeughausstraße 3 78532 Tuttlingen Landkreis Tuttlingen,78532,Tuttlingen,10,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,0894f2d9-a486-47f6-8462-5e16e8d97201,Energie und Wasserversorgung Bonn/Rhein-Sieg GmbH (EnW Bonn/Rhein-Sieg),Grootestraße 23,53121,Bonn,2,c3ed18024f277dc0,de650088-6776-4b46-ba73-03b7dc3041cf,DEOPEE0004000R|DEOPEE0004000L,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,Grootestraße 23 53121 Bonn Kreisfreie Stadt Bonn,53121,Bonn,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,089f32a0-e342-4b9e-bba0-d86e906248a0,e-regio GmbH & Co. KG,Kirschenpfad 2,53913,Swisttal,2,6f859cefaa18d864,9ef8654e-1da0-48cd-8f73-64369c2fe049,DEEREE000600R|DEEREE000600L,e-regio GmbH & Co. KG,Kirschenpfad 2 53913 Swisttal Kreis Rhein-Sieg-Kreis,53913,Swisttal,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,08e6908e-b813-42a2-afc5-e6ba59690ae1,Claus Heinemann Elektroanlagen GmbH,Weimarer Straße 2,80807,München,2,797bdcb769d77b7f,26a6bb46-3471-44b8-bcd8-d462889a2dde|33e29a9e-6974-4593-b98f-3f6c00c14581,DEMUCECO110015|DEMUCECO110016,Claus Heinemann Elektroanlagen GmbH,Weimarer Straße 2 80807 München Kreisfreie Stadt München,80807,München,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,094f5344-846a-4dad-9bd9-9c468023abdb,Chargemaker GmbH,Nordenstädter Straße 33,65239,Hochheim am Main,2,056aa4bd063b6517,67702bd6-a4df-49c1-92ef-b4dc99aee1d4|d7365be3-45cd-4396-9bb0-495a9d5936b2,DECM2E1100003AC001|DECM2E1100004AC001,Chargemaker GmbH,Nordenstädterstraße 33 65239 Hochheim am Main Landkreis Main-Taunus-Kreis,65239,Hochheim am Main,2,0,-100.0
0.0,True,True,True,1.0,chargecloud,978597062404620288,09551f2e-7feb-4a81-bfc2-220d2a7e6e52,Neue Energie Fellbach GmbH,Eisenbahnstraße 21,70736,Fellbach,2,0704980e1973e952,56204fdc-8cee-4411-8f15-d1146e9ab5c7,DEFELENEF10002001|DEFELENEF10002002,Neue Energie Fellbach GmbH,Eisenbahnstraße 21 70736 Fellbach Landkreis Rems-Murr-Kreis,70736,Fellbach,2,0,-100.0
